,sentence,location_list,type_list,error_list
0,[BD《]绿色绿色与饥饿[BD》]如果要我在绿色食品与饥饿{CQ中}做出选择的话，我会毫不犹[C]豫[C]地{CC的}选[C]择饥饿，大家也应该在新闻里听说过，现在还有几亿人在因缺少粮食而挨饿吧？,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=98)",0,0
1,"是的[BQ，]虽然科技在发展，人们的需求也越来越多，但是我认为，与其将时间浪费在减少生产量来制造绿色食品,还不如将精力放在如何使几亿人不挨饿{CJ-buy上}。","d.t.u.d.c.a.s.t.Sentence(begin=98, end=178)",0,0
2,“少而精”，这正是绿色食品的特点，也是那些“吃饱撑着”的人的观点。,"d.t.u.d.c.a.s.t.Sentence(begin=178, end=211)",0,0
3,现在普遍饮用的并不定绿色食品，而是短文里所说的所谓“吃了会有害于人体健康”的食品。,"d.t.u.d.c.a.s.t.Sentence(begin=211, end=252)",0,0
4,但是，究竟有多少人是因为吃了这些食品而死亡（生病）的呢？,"d.t.u.d.c.a.s.t.Sentence(begin=252, end=280)",0,0
5,很少。,"d.t.u.d.c.a.s.t.Sentence(begin=280, end=283)",0,0
6,（不敢说没有，但绝不会多于挨饿的人数）与这数字比起来，每天有几百万人因饥饿而死亡，那我们应该更重视哪一个呢？,"d.t.u.d.c.a.s.t.Sentence(begin=283, end=337)",0,0
7,结果可{CC1可以}想而知，应把解决饥饿放在首位。,"d.t.u.d.c.a.s.t.Sentence(begin=337, end=362)",0,0
8,不应该只顾着提高，应将“普及”工作做实了，不因少数人观点而误了多数人的生命，这正是我为什么会选择饥饿的原因。,"d.t.u.d.c.a.s.t.Sentence(begin=362, end=416)",0,0
9,“众口难调”，“凡事无绝对”。,"d.t.u.d.c.a.s.t.Sentence(begin=416, end=431)",0,0
10,那应该怎样解决好这一问题呢？,"d.t.u.d.c.a.s.t.Sentence(begin=431, end=445)",0,0
11,其实道理很简单。,"d.t.u.d.c.a.s.t.Sentence(begin=445, end=453)",0,0
12,例如：任何豪华的建筑，一开始建造时，都先{CJX}需要打地基[BQ，]就是所谓“基础”，只有基础打好了，才能提高。,"d.t.u.d.c.a.s.t.Sentence(begin=453, end=510)",1,都先{CJX}
13,同样，人们只有把基础工作中的普及工作做好，做扎实，才能提高质量.如果有100%的精力，那么合理地分配方法就是80%为饥饿，20%为开发绿色食品。,"d.t.u.d.c.a.s.t.Sentence(begin=510, end=582)",0,0
14,还有一种就是将科技再进一步提高，研制出既[B即]不影响人体健康，也不会影响生产量的农药，再将其普及化，给人类创造[C]舒适[C]的饮食空间。,"d.t.u.d.c.a.s.t.Sentence(begin=582, end=652)",1,[B即]
15,饥饿问题，一直是全世界所关注的话题，也是正在努力的一项“灾难”。,"d.t.u.d.c.a.s.t.Sentence(begin=652, end=684)",0,0
16,希望我的建议对{CJ-sy解决}这一问题有所帮助{CC用处}。,"d.t.u.d.c.a.s.t.Sentence(begin=684, end=715)",0,0
17,"()(157D)""}","d.t.u.d.c.a.s.t.Sentence(begin=715, end=725)",0,0
18,在日本，人们非常地{CC的}重视“绿色食品”，也非常地{CC的}喜欢食用“绿色食品[BD，]”[BQ，]我也是一样。,"d.t.u.d.c.a.s.t.Sentence(begin=0, end=58)",0,0
19,但是大部分的日本人从来没有去想过在这个世界上还有一大部分人口在挨饿，包括我在内。,"d.t.u.d.c.a.s.t.Sentence(begin=58, end=98)",0,0
20,我在美国留学的时候认识了一些非洲的朋友，他们告诉了我他们的国家的状况。,"d.t.u.d.c.a.s.t.Sentence(begin=98, end=133)",0,0
21,让我非常吃惊的是在非洲有很多孩子在出生之后，因为没有母乳而饿死。,"d.t.u.d.c.a.s.t.Sentence(begin=133, end=165)",0,0
22,那为什么会没母乳呢？,"d.t.u.d.c.a.s.t.Sentence(begin=165, end=175)",0,0
23,那是因为他们的国家没有充足的粮食，所[C]以母亲们也因为饥饿所[C]以没有母乳来给孩子。,"d.t.u.d.c.a.s.t.Sentence(begin=175, end=219)",0,0
24,没有挨过饿的人是不会理解挨饿的痛苦的，所[C]以在先进国家也只有很少的人为这些挨饿的人{CD而}去努力[B人]活动[F動]。,"d.t.u.d.c.a.s.t.Sentence(begin=219, end=281)",1,{CD而}
